TEMPERATURE (Â°C),RAINFALL (mm),ACTUAL CONDITION,OCCURENCE OF FLOOD,DATETIME
30.22865,1.0875188,2.1207952,0.9662691,2024-09-01 00:00:00
30.842896,1.8753034,2.6929932,0.91146296,2024-09-01 08:00:00
28.995575,3.3175354,2.3035996,0.85666406,2024-09-01 16:00:00
29.31235,3.4569385,2.5599897,0.8560214,2024-09-02 00:00:00
30.145199,3.133887,2.7379854,0.86854386,2024-09-02 08:00:00
30.016357,2.9142122,2.66462,0.8748403,2024-09-02 16:00:00
30.234648,2.6312459,2.693336,0.8891473,2024-09-03 00:00:00
30.81327,2.384268,2.7888134,0.904106,2024-09-03 08:00:00
30.822575,2.165093,2.8302588,0.91260415,2024-09-03 16:00:00
31.058231,2.005467,2.9497728,0.92148966,2024-09-04 00:00:00
31.001663,1.8624645,3.0256622,0.9263535,2024-09-04 08:00:00
30.908165,1.773482,3.0829427,0.93005884,2024-09-04 16:00:00
31.139017,1.7673728,3.166771,0.93474317,2024-09-05 00:00:00
31.598835,1.8276534,3.2671292,0.9391413,2024-09-05 08:00:00
31.61331,1.8145001,3.3035574,0.94012105,2024-09-05 16:00:00
31.793806,1.8064564,3.364782,0.94219774,2024-09-06 00:00:00
31.974255,1.8108844,3.412509,0.9435151,2024-09-06 08:00:00
31.682032,1.7528479,3.3884933,0.9420436,2024-09-06 16:00:00
31.785053,1.7513472,3.4125757,0.94323695,2024-09-07 00:00:00
31.802235,1.7558846,3.4063175,0.94295067,2024-09-07 08:00:00
31.621058,1.7350094,3.3751156,0.9417538,2024-09-07 16:00:00
